timestamp,open,high,low,close,volume
2023-03-01 00:00:00+00:00,23143.31,23147.85,23135.24,23144.92,1.57898625
2023-03-01 00:01:00+00:00,23142.87,23148.35,23140.44,23142.71,0.17660897
2023-03-01 00:02:00+00:00,23142.71,23157.29,23140.87,23155.94,0.1915519
2023-03-01 00:03:00+00:00,23157.51,23161.33,23157.5,23161.33,0.00092102
2023-03-01 00:04:00+00:00,23161.33,23172.49,23161.33,23170.36,0.29206508
2023-03-01 00:06:00+00:00,23157.63,23157.63,23145.27,23145.27,0.06224
2023-03-01 00:07:00+00:00,23141.26,23141.26,23138.99,23138.99,0.00744459
2023-03-01 00:08:00+00:00,23139.36,23151.36,23138.99,23138.99,0.37050197
2023-03-01 00:09:00+00:00,23133.55,23133.55,23119.62,23119.62,0.15172638
2023-03-01 00:10:00+00:00,23126.89,23132.64,23122.65,23122.65,0.37677705
2023-03-01 00:13:00+00:00,23162.56,23163.61,23159.5,23159.5,0.17750061
2023-03-01 00:14:00+00:00,23159.5,23163.55,23154.67,23163.55,0.22775845
2023-03-01 00:15:00+00:00,23170.42,23171.04,23166.38,23168.44,0.11836816
2023-03-01 00:16:00+00:00,23165.4,23165.4,23165.2,23165.2,0.17623686
2023-03-01 00:17:00+00:00,23174.78,23182.76,23171.36,23171.36,0.16202311
2023-03-01 00:18:00+00:00,23173.97,23175.67,23173.97,23175.67,0.04010103
2023-03-01 00:20:00+00:00,23182.42,23183.76,23175.21,23183.76,0.74228039
2023-03-01 00:21:00+00:00,23194.96,23194.96,23192.85,23193.2,0.15402104
2023-03-01 00:22:00+00:00,23196.98,23214.96,23196.98,23199.42,0.54759666
2023-03-01 00:23:00+00:00,23195.06,23195.06,23190.43,23190.58,0.13841915
2023-03-01 00:24:00+00:00,23189.64,23206.87,23189.24,23198.81,0.76282764
2023-03-01 00:25:00+00:00,23184.42,23184.42,23184.42,23184.42,0.0009
2023-03-01 00:26:00+00:00,23192.49,23192.49,23189.49,23189.49,0.12005201
2023-03-01 00:27:00+00:00,23192.76,23192.76,23192.76,23192.76,6.961e-05
2023-03-01 00:28:00+00:00,23191.97,23191.97,23181.89,23183.83,0.36293724
2023-03-01 00:29:00+00:00,23173.61,23173.61,23169.17,23169.17,0.00107817
2023-03-01 00:30:00+00:00,23169.44,23187.14,23168.42,23187.14,2.47707754
2023-03-01 00:31:00+00:00,23198.01,23199.15,23196.79,23199.15,0.18968
2023-03-01 00:32:00+00:00,23207.94,23207.94,23197.9,23198.49,0.09605101
2023-03-01 00:33:00+00:00,23210.38,23210.38,23198.39,23202.7,0.09306742
2023-03-01 00:34:00+00:00,23198.4,23198.83,23198.4,23198.83,0.03461357
2023-03-01 00:35:00+00:00,23197.03,23203.39,23188.49,23188.49,0.13547468
