Price,Close,High,Low,Open,Volume
Ticker,LUNA-USD,LUNA-USD,LUNA-USD,LUNA-USD,LUNA-USD
Date,,,,,
2022-04-01,0.004627999849617481,0.004662000108510256,0.00443999981507659,0.004554999992251396,0
2022-04-02,0.005504000000655651,0.005555999930948019,0.0045779999345541,0.004629000090062618,5
2022-04-03,0.0055740000680089,0.0056779999285936356,0.005475999787449837,0.005503000225871801,0
2022-04-04,0.005594999995082617,0.005615000147372484,0.005427999887615442,0.005572999827563763,0
2022-04-05,0.00546699995175004,0.005652999971061945,0.005464999936521053,0.005594999995082617,0
2022-04-06,0.005185000132769346,0.005464999936521053,0.0051830001175403595,0.005464999936521053,0
2022-04-07,0.0052200001664459705,0.0052629997953772545,0.005148000083863735,0.005185000132769346,0
2022-04-08,0.00507500022649765,0.005268000066280365,0.005061999894678593,0.00522099994122982,0
2022-04-09,0.0038499999791383743,0.005113999824970961,0.003819999983534217,0.005073999986052513,16
2022-04-10,0.0050650001503527164,0.005204999819397926,0.0038330000825226307,0.0038499999791383743,74
2022-04-11,0.004743000026792288,0.005090999882668257,0.004724999889731407,0.005063999909907579,0
2022-04-12,0.004815000109374523,0.004873999860137701,0.004726999904960394,0.0047439998015761375,0
2022-04-13,0.004939999897032976,0.004972000140696764,0.004765999969094992,0.004815000109374523,0
2022-04-14,0.004792000167071819,0.004974000155925751,0.004763000179082155,0.0049390001222491264,0
2022-04-15,0.004865999799221754,0.004873999860137701,0.004784000106155872,0.004792999941855669,0
2022-04-16,0.004850999917834997,0.004875999875366688,0.004809000063687563,0.004865999799221754,0
2022-04-17,0.004765999969094992,0.004867999814450741,0.004755000118166208,0.0048500001430511475,0
2022-04-18,0.004898999817669392,0.004918000195175409,0.004643999971449375,0.004767000209540129,0
2022-04-19,0.004980000201612711,0.005001000128686428,0.004873999860137701,0.004898999817669392,0
2022-04-20,0.004964999854564667,0.005055000074207783,0.0049149999395012856,0.004980000201612711,0
2022-04-21,0.004863000009208918,0.005146999843418598,0.004807999823242426,0.004964999854564667,0
2022-04-22,0.0047690002247691154,0.004892999771982431,0.004718000069260597,0.004863000009208918,0
2022-04-23,0.004738000221550465,0.004792000167071819,0.004722000099718571,0.0047690002247691154,0
2022-04-24,0.004736000206321478,0.004776999820023775,0.0035310001112520695,0.004736999981105328,68
2022-04-25,0.0032369999680668116,0.004738999996334314,0.0030670000705868006,0.004736999981105328,5
2022-04-26,0.00304899993352592,0.0032569998875260353,0.003031000029295683,0.003235999960452318,0
2022-04-27,0.004708999767899513,0.004728000145405531,0.0030400000978261232,0.0030499999411404133,9
2022-04-28,0.004772999789565802,0.004832000005990267,0.004672999959439039,0.004708999767899513,0
2022-04-29,0.004633000120520592,0.004786000121384859,0.004588000010699034,0.004772000014781952,0
2022-04-30,0.004149000160396099,0.004652999807149172,0.004147000145167112,0.004633000120520592,4
2022-05-01,0.004232000093907118,0.0042489999905228615,0.004133999813348055,0.004147999919950962,0
2022-05-02,0.004238000139594078,0.004298000130802393,0.0041970000602304935,0.004232000093907118,0
2022-05-03,0.004153000190854073,0.0042489999905228615,0.004133999813348055,0.004238000139594078,0
2022-05-04,0.0043669999577105045,0.004389000125229359,0.004151000175625086,0.0041519999504089355,0
2022-05-05,0.004023000132292509,0.004377000033855438,0.003944000229239464,0.0043669999577105045,0
2022-05-06,0.003965000156313181,0.004029000177979469,0.0039029999170452356,0.004023000132292509,0
2022-05-07,0.0039049999322742224,0.003973999992012978,0.0038429999258369207,0.003965000156313181,0
2022-05-08,0.003746999893337488,0.0039049999322742224,0.003731000004336238,0.0039049999322742224,0
2022-05-09,0.0036359999794512987,0.003903999924659729,0.003539999946951866,0.003746999893337488,3
2022-05-10,0.005584000144153833,0.006192999891936779,0.0035929998848587275,0.0036329999566078186,53
2022-05-11,1.1920889616012573,1.3350800275802612,0.005528999958187342,0.005582999903708696,0
