Price,Close,High,Low,Open,Volume
Ticker,UST-USD,UST-USD,UST-USD,UST-USD,UST-USD
Date,,,,,
2022-04-01,1.0020149946212769,1.0025639533996582,0.9989389777183533,1.001384973526001,488655866
2022-04-02,1.0000879764556885,1.0028059482574463,0.9985849857330322,1.0020380020141602,498511220
2022-04-03,0.9999549984931946,1.0030800104141235,0.9990440011024475,1.0001219511032104,325606708
2022-04-04,1.000501036643982,1.0027470588684082,0.9962660074234009,0.9998859763145447,589731894
2022-04-05,0.998399019241333,1.0026789903640747,0.9976209998130798,1.0005069971084595,562424018
2022-04-06,1.000311017036438,1.003067970275879,0.9976959824562073,0.9983630180358887,744433415
2022-04-07,1.0001219511032104,1.0022200345993042,0.9980189800262451,1.0002449750900269,445409900
2022-04-08,1.0001909732818604,1.000802993774414,0.9994530081748962,1.0001800060272217,636053052
2022-04-09,1.0003060102462769,1.0011130571365356,0.9997299909591675,1.0001050233840942,436070423
2022-04-10,1.0001380443572998,1.0015250444412231,0.9998220205307007,1.000594973564148,363203924
2022-04-11,1.0003390312194824,1.001296043395996,0.999550998210907,1.000417947769165,897998117
2022-04-12,1.000473976135254,1.0012149810791016,0.999646008014679,1.0003889799118042,642464358
2022-04-13,1.0008889436721802,1.0018450021743774,0.9999740123748779,1.0005220174789429,448059621
2022-04-14,1.0009429454803467,1.001852035522461,0.9997130036354065,1.000599980354309,478484325
2022-04-15,1.0015859603881836,1.002318024635315,1.0005069971084595,1.0009620189666748,311283166
2022-04-16,1.0024280548095703,1.0030499696731567,1.00101900100708,1.0017169713974,204733778
2022-04-17,1.001397967338562,1.0028530359268188,1.0010360479354858,1.0023839473724365,234591989
2022-04-18,1.0024579763412476,1.003013014793396,1.0008740425109863,1.0015660524368286,607009919
2022-04-19,1.0020580291748047,1.0032249689102173,1.0012019872665405,1.00245201587677,483251711
2022-04-20,1.0032000541687012,1.0036920309066772,1.00137197971344,1.0020320415496826,518858156
2022-04-21,1.0021940469741821,1.003708004951477,1.0013010501861572,1.0031609535217285,618505118
2022-04-22,1.0011520385742188,1.003720998764038,0.9995440244674683,1.0020780563354492,567613598
2022-04-23,1.002128005027771,1.0036269426345825,0.9994950294494629,1.001086950302124,325842115
2022-04-24,1.00137197971344,1.0036900043487549,0.9992769956588745,1.0026520490646362,287766062
2022-04-25,1.001682996749878,1.003216028213501,0.9982270002365112,1.0011709928512573,707655893
2022-04-26,1.0005099773406982,1.0030499696731567,0.9981819987297058,1.0022790431976318,669584312
2022-04-27,1.0020869970321655,1.0030030012130737,0.9983609914779663,1.0014640092849731,628471362
2022-04-28,1.0017509460449219,1.002593994140625,0.9983479976654053,1.0005500316619873,521840225
2022-04-29,1.0009740591049194,1.0027689933776855,0.9975550174713135,1.0017249584197998,560980549
2022-04-30,0.9995669722557068,1.002845048904419,0.9978929758071899,1.0010730028152466,547686207
2022-05-01,1.001649022102356,1.002558946609497,0.9975789785385132,0.9997789859771729,566644085
2022-05-02,1.0013999938964844,1.002737045288086,0.9980469942092896,1.0015660524368286,574239251
2022-05-03,1.0002440214157104,1.0023829936981201,0.9980859756469727,0.998947024345398,453049346
2022-05-04,0.999364972114563,1.0024820566177368,0.9965940117835999,1.0000250339508057,612280607
2022-05-05,0.9995459914207458,1.0033270120620728,0.9978569746017456,1.0007410049438477,733858936
2022-05-06,0.9996240139007568,1.002500057220459,0.998088002204895,0.9998279809951782,649583067
2022-05-07,0.9968680143356323,1.0024609565734863,0.9927319884300232,0.9998869895935059,1335178681
2022-05-08,0.9964010119438171,0.9996510148048401,0.9905030131340027,0.9969069957733154,2025913193
2022-05-09,0.7933930158615112,0.9990140199661255,0.7933930158615112,0.9954270124435425,2809970941
2022-05-10,0.7999190092086792,0.9485539793968201,0.6840810179710388,0.80594801902771,4905955011
2022-05-11,0.8011369705200195,0.8474199771881104,0.29983800649642944,0.7993720173835754,7679819164
2022-05-12,0.40858399868011475,0.8294029831886292,0.3625989854335785,0.8010579943656921,9392162783
2022-05-13,0.15400199592113495,0.406917005777359,0.13313700258731842,0.40553900599479675,1285921756
